"filename", "language", "Python", "Batch", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\Arian\Documents\CIM-Project\client\example.py", "Python", 71, 0, 0, 0, 26, 16, 113
"c:\Users\Arian\Documents\CIM-Project\server\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 7, 0, 1, 8
"c:\Users\Arian\Documents\CIM-Project\server\gradlew.bat", "Batch", 0, 41, 0, 0, 30, 22, 93
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\Creds.java", "Java", 0, 0, 16, 0, 0, 2, 18
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\ImageController.java", "Java", 0, 0, 48, 0, 1, 5, 54
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\Link.java", "Java", 0, 0, 30, 0, 0, 2, 32
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\LinkRepository.java", "Java", 0, 0, 8, 0, 0, 3, 11
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\Response.java", "Java", 0, 0, 15, 0, 0, 2, 17
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\RestServiceApplication.java", "Java", 0, 0, 9, 0, 0, 4, 13
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\User.java", "Java", 0, 0, 30, 0, 0, 2, 32
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\UserController.java", "Java", 0, 0, 40, 0, 1, 4, 45
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\UserRepository.java", "Java", 0, 0, 10, 0, 0, 4, 14
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\jwtUtils.java", "Java", 0, 0, 42, 0, 0, 3, 45
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\s3Configs.java", "Java", 0, 0, 34, 0, 0, 7, 41
"c:\Users\Arian\Documents\CIM-Project\server\src\main\java\com\example\server_controller\s3service.java", "Java", 0, 0, 76, 0, 2, 14, 92
"c:\Users\Arian\Documents\CIM-Project\server\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 12, 0, 3, 15
"c:\Users\Arian\Documents\CIM-Project\server\src\test\java\com\example\server_controller\ServerControllerApplicationTests.java", "Java", 0, 0, 9, 0, 0, 5, 14
"Total", "-", 71, 41, 367, 19, 60, 99, 657
